system,topic,score
input.fub04TDNg,t_621,0.4042
input.fub04TDNg,t_626,0.3806
input.fub04TDNg,t_631,0.0966
input.fub04TDNg,t_636,0.4668
input.fub04TDNg,t_641,0.586
input.fub04TDNg,t_646,0.3461
input.fub04TDNg,t_651,0.222
input.fub04TDNg,t_656,0.5679
input.fub04TDNg,t_661,0.73
input.fub04TDNg,t_666,0.0169
input.fub04TDNg,t_671,0.4414
input.fub04TDNg,t_676,0.3288
input.fub04TDNg,t_681,0.6312
input.fub04TDNg,t_686,0.5645
input.fub04TDNg,t_691,0.3283
input.fub04TDNg,t_696,0.2568
input.fub04Te,t_301,0.0344
input.fub04Te,t_306,0.245
input.fub04Te,t_311,0.166
input.fub04Te,t_316,0.6144
input.fub04Te,t_321,0.3166
input.fub04Te,t_326,0.7122
input.fub04Te,t_331,0.4665
input.fub04Te,t_336,0.1006
input.fub04Te,t_341,0.4306
input.fub04Te,t_346,0.0262
input.fub04Te,t_351,0.6019
input.fub04Te,t_356,0.0467
input.fub04Te,t_361,0.5219
input.fub04Te,t_366,0.4693
input.fub04Te,t_371,0.0038
input.fub04Te,t_376,0.0247
input.fub04Te,t_381,0.0348
input.fub04Te,t_386,0.0494
input.fub04Te,t_391,0.0958
input.fub04Te,t_396,0.3611
input.fub04Te,t_401,0.0174
input.fub04Te,t_406,0.4495
input.fub04Te,t_411,0.3068
input.fub04Te,t_416,0.2809
input.fub04Te,t_421,0.0199
input.fub04Te,t_426,0.0748
input.fub04Te,t_431,0.5724
input.fub04Te,t_436,0.1045
input.fub04Te,t_441,0.6042
input.fub04Te,t_446,0.3311
input.fub04Te,t_601,0.6467
input.fub04Te,t_606,0.4759
input.fub04Te,t_611,0.2556
input.fub04Te,t_616,0.7349
input.fub04Te,t_621,0.4651
input.fub04Te,t_626,0.2572
input.fub04Te,t_631,0.1387
input.fub04Te,t_636,0.4076
input.fub04Te,t_641,0.5569
input.fub04Te,t_646,0.1773
input.fub04Te,t_651,0.0179
input.fub04Te,t_656,0.3022
input.fub04Te,t_661,0.6947
input.fub04Te,t_666,0.0103
input.fub04Te,t_671,0.3956
input.fub04Te,t_676,0.283
input.fub04Te,t_681,0.3417
input.fub04Te,t_686,0.4886
input.fub04Te,t_691,0.2698
input.fub04Te,t_696,0.3575
input.fub04Tg,t_301,0.1962
input.fub04Tg,t_306,0.0964
input.fub04Tg,t_311,0.1714
input.fub04Tg,t_316,0.448
input.fub04Tg,t_321,0.2901
input.fub04Tg,t_326,0.5488
input.fub04Tg,t_331,0.2892
input.fub04Tg,t_336,0.1084
input.fub04Tg,t_341,0.1518
input.fub04Tg,t_346,0.1814
input.fub04Tg,t_351,0.5436
input.fub04Tg,t_356,0.0437
input.fub04Tg,t_361,0.3731
input.fub04Tg,t_366,0.5389
input.fub04Tg,t_371,0.0055
input.fub04Tg,t_376,0.0447
input.fub04Tg,t_381,0.066
input.fub04Tg,t_386,0.0489
input.fub04Tg,t_391,0.0429
input.fub04Tg,t_396,0.5115
input.fub04Tg,t_401,0.0148
input.fub04Tg,t_406,0.4011
input.fub04Tg,t_411,0.3582
input.fub04Tg,t_416,0.3177
input.fub04Tg,t_421,0.0102
input.fub04Tg,t_426,0.146
input.fub04Tg,t_431,0.5449
input.fub04Tg,t_436,0.1877
input.fub04Tg,t_441,0.6324
input.fub04Tg,t_446,0.1948
input.fub04Tg,t_601,0.7857
input.fub04Tg,t_606,0.6201
input.fub04Tg,t_611,0.3286
input.fub04Tg,t_616,0.3094
input.fub04Tg,t_621,0.4052
input.fub04Tg,t_626,0.3507
input.fub04Tg,t_631,0.082
input.fub04Tg,t_636,0.4503
input.fub04Tg,t_641,0.5184
input.fub04Tg,t_646,0.2012
input.fub04Tg,t_651,0.2158
input.fub04Tg,t_656,0.4039
input.fub04Tg,t_661,0.7087
input.fub04Tg,t_666,0.0117
input.fub04Tg,t_671,0.3602
input.fub04Tg,t_676,0.3215
input.fub04Tg,t_681,0.6143
input.fub04Tg,t_686,0.5133
input.fub04Tg,t_691,0.3085
input.fub04Tg,t_696,0.2415
input.fub04Tge,t_301,0.1895
input.fub04Tge,t_306,0.1962
input.fub04Tge,t_311,0.1681
input.fub04Tge,t_316,0.5141
input.fub04Tge,t_321,0.2996
input.fub04Tge,t_326,0.6141
input.fub04Tge,t_331,0.4775
input.fub04Tge,t_336,0.1152
input.fub04Tge,t_341,0.166
input.fub04Tge,t_346,0.0853
input.fub04Tge,t_351,0.6161
input.fub04Tge,t_356,0.0573
input.fub04Tge,t_361,0.4343
input.fub04Tge,t_366,0.522
input.fub04Tge,t_371,0.0044
input.fub04Tge,t_376,0.0466
input.fub04Tge,t_381,0.0628
input.fub04Tge,t_386,0.054
input.fub04Tge,t_391,0.0942
input.fub04Tge,t_396,0.5127
input.fub04Tge,t_401,0.0163
input.fub04Tge,t_406,0.4204
input.fub04Tge,t_411,0.3777
input.fub04Tge,t_416,0.3175
input.fub04Tge,t_421,0.0102
input.fub04Tge,t_426,0.1447
input.fub04Tge,t_431,0.5545
input.fub04Tge,t_436,0.1499
input.fub04Tge,t_441,0.6057
input.fub04Tge,t_446,0.204
input.fub04Tge,t_601,0.7857
input.fub04Tge,t_606,0.6605
input.fub04Tge,t_611,0.3234
input.fub04Tge,t_616,0.3693
input.fub04Tge,t_621,0.4073
input.fub04Tge,t_626,0.2998
input.fub04Tge,t_631,0.0818
input.fub04Tge,t_636,0.4608
input.fub04Tge,t_641,0.593
input.fub04Tge,t_646,0.1944
input.fub04Tge,t_651,0.201
input.fub04Tge,t_656,0.4091
input.fub04Tge,t_661,0.7293
input.fub04Tge,t_666,0.0115
input.fub04Tge,t_671,0.3721
input.fub04Tge,t_676,0.3175
input.fub04Tge,t_681,0.6233
input.fub04Tge,t_686,0.5452
input.fub04Tge,t_691,0.2833
input.fub04Tge,t_696,0.2815
input.NLPR04clus10,t_301,0.1256
input.NLPR04clus10,t_306,0.3236
input.NLPR04clus10,t_311,0.29
input.NLPR04clus10,t_316,0.6312
input.NLPR04clus10,t_321,0.1334
input.NLPR04clus10,t_326,0.56
input.NLPR04clus10,t_331,0.3037
input.NLPR04clus10,t_336,0.0572
input.NLPR04clus10,t_341,0.3078
input.NLPR04clus10,t_346,0.0527
input.NLPR04clus10,t_351,0.3923
input.NLPR04clus10,t_356,0.0441
input.NLPR04clus10,t_361,0.3027
input.NLPR04clus10,t_366,0.5009
input.NLPR04clus10,t_371,0.0739
input.NLPR04clus10,t_376,0.1474
input.NLPR04clus10,t_381,0.0619
input.NLPR04clus10,t_386,0.0301
input.NLPR04clus10,t_391,0.1337
input.NLPR04clus10,t_396,0.3837
input.NLPR04clus10,t_401,0.058
input.NLPR04clus10,t_406,0.2487
input.NLPR04clus10,t_411,0.2649
input.NLPR04clus10,t_416,0.3659
input.NLPR04clus10,t_421,0.0869
input.NLPR04clus10,t_426,0.2163
input.NLPR04clus10,t_431,0.5066
input.NLPR04clus10,t_436,0.234
input.NLPR04clus10,t_441,0.5771
input.NLPR04clus10,t_446,0.2701
input.NLPR04clus10,t_601,0.5595
input.NLPR04clus10,t_606,0.4437
input.NLPR04clus10,t_611,0.3414
input.NLPR04clus10,t_616,0.6399
input.NLPR04clus10,t_621,0.5095
input.NLPR04clus10,t_626,0.5666
input.NLPR04clus10,t_631,0.2225
input.NLPR04clus10,t_636,0.3934
input.NLPR04clus10,t_641,0.4132
input.NLPR04clus10,t_646,0.3471
input.NLPR04clus10,t_651,0.0395
input.NLPR04clus10,t_656,0.3953
input.NLPR04clus10,t_661,0.602
input.NLPR04clus10,t_666,0.0114
input.NLPR04clus10,t_671,0.3097
input.NLPR04clus10,t_676,0.2507
input.NLPR04clus10,t_681,0.4674
input.NLPR04clus10,t_686,0.4359
input.NLPR04clus10,t_691,0.0462
