system,topic,score
input.anserini_qlax,t_814,0.5306
input.anserini_qlax,t_815,0.2507
input.anserini_qlax,t_816,0.1045
input.anserini_qlax,t_817,0.3966
input.anserini_qlax,t_818,0.5769
input.anserini_qlax,t_819,0.103
input.anserini_qlax,t_820,0.2698
input.anserini_qlax,t_821,0.2928
input.anserini_qlax,t_822,0.2945
input.anserini_qlax,t_823,0.4334
input.anserini_qlax,t_824,0.549
input.anserini_qlax,t_825,0.5017
input.anserini_qlrm3,t_321,0.2398
input.anserini_qlrm3,t_336,0.2487
input.anserini_qlrm3,t_341,0.3529
input.anserini_qlrm3,t_347,0.0918
input.anserini_qlrm3,t_350,2e-04
input.anserini_qlrm3,t_362,0.2378
input.anserini_qlrm3,t_363,0.3121
input.anserini_qlrm3,t_367,0.0613
input.anserini_qlrm3,t_375,0.42
input.anserini_qlrm3,t_378,0.2025
input.anserini_qlrm3,t_393,0.0056
input.anserini_qlrm3,t_397,0.3269
input.anserini_qlrm3,t_400,0.1712
input.anserini_qlrm3,t_408,0.0764
input.anserini_qlrm3,t_414,0.0624
input.anserini_qlrm3,t_422,0.0954
input.anserini_qlrm3,t_426,0.1558
input.anserini_qlrm3,t_427,0.0293
input.anserini_qlrm3,t_433,0.12
input.anserini_qlrm3,t_439,0.0241
input.anserini_qlrm3,t_442,0.0713
input.anserini_qlrm3,t_445,0.1928
input.anserini_qlrm3,t_626,0.3596
input.anserini_qlrm3,t_646,0.0751
input.anserini_qlrm3,t_690,0.0324
input.anserini_qlrm3,t_801,0.1558
input.anserini_qlrm3,t_802,0.1468
input.anserini_qlrm3,t_803,0.2576
input.anserini_qlrm3,t_804,0.186
input.anserini_qlrm3,t_805,0.1456
input.anserini_qlrm3,t_806,0.5645
input.anserini_qlrm3,t_807,0.9179
input.anserini_qlrm3,t_808,0.1381
input.anserini_qlrm3,t_809,0.7216
input.anserini_qlrm3,t_810,0.0741
input.anserini_qlrm3,t_811,0.5832
input.anserini_qlrm3,t_812,0.1696
input.anserini_qlrm3,t_813,0.0956
input.anserini_qlrm3,t_814,0.5785
input.anserini_qlrm3,t_815,0.3023
input.anserini_qlrm3,t_816,0.1289
input.anserini_qlrm3,t_817,0.3834
